Продажу билетов на конкурс «Евровидение» приостановили в Израиле,Власти говорят о возможных махинациях
Акция с требованием прекратить уголовное преследование фигурантов «Нового величия» прошла возле м.Третьяковская,Люди держали плакаты с резкой критикой ФСБ и поддержкой обвиняемых в создании экстремистского сообщества и участии в нём…
Следователи проводят проверку после сообщений о нападении охранника супермаркета на двух подростков в Москве,"Как говорится на сайте Главного следственного управления СК по столице, после этого будет решаться вопрос о возбуждении дела…"
В московском Зюзине пройдет митинг за сохранение роддома №10,"Это единственный центр планирования семьи на несколько районов, но власти хотят его закрыть…"
Бывший глава Коми Вячеслав Гайзер подал в суд на еженедельник 'Аргументы и Факты',"Поводом стала статья, которая появилась год назад…"
Верховный суд Кабардино-Балкарии отменил приговор 70-летнему члену «Свидетелей Иеговы»* Аркадю Акопяну,"Член организации, которая признана в России судом экстремистской и запрещена, был осужден по статье о возбуждении религиозной ненависти либо вражды…"
Информация об угрозе взрыва в деловом комплексе «Москва-Сити» не подтвердилась,"Территорию на Краснопресненской набережной проверили сотрудники экстренных служб, в том числе кинологи. Взрывное устройство не обнаружено…"
"Основатель фонда Hermitage Capital Уильям Браудер утверждает, что в России ему предъявлено новое обвинение",Следственный комитет считает финансиста причастным к убийству российского бизнесмена Александра Перепиличного…
"Адвоката Галину Музыку, чей подзащитный обвинил полицейских в избиении, нашли мертвой в Иркутской области","Как рассказал интернет-изданию «Медиазона» член региональной Общественной наблюдательной комиссии Павел Глущенко, женщина должна была взять объяснение у своего подзащитного Михаила Загвоздина…"
Фанаты Спартака устроили драку на хоккейном матче,Участников довольно быстро вывели с трибун…
Зимняя универсиада стартовала в Красноярске,"Это значительное мероприятие, и стоит многого ожидать от российской команды, — сказал спортивный обозреватель Александр Боярский…"
Власти Запорожья намерены вернуть на родину останки Нестора Махно,По некоторым данным договорённость с его родственником достигнута…
Трое детей госпитализированы после аварии школьного автобуса под Тулой,"Ранее сообщалось о восьми школьниках и двух взрослых, которые получили травмы…"
Троих задержанных на народном сходе в поддержку аспиранта МГУ Азата Мифтахова оставляют до понедельника в полиции,Их обвиняют в повторном нарушении правил проведения публичного мероприятия…
Боец смешанных единоборств Александр Емельяненко получил десять суток ареста,Накануне его задержали за рулем в нетрезвом состоянии…
Похороны известного ученого Жореса Алферова пройдут по церемониалу для почетных граждан Санкт-Петербурга,Это звание ему присвоили еще в 2001 году…
Прощание с нобелевским лауреатом по физике Жоресом Алферовым пройдет во вторник в Санкт-Петербурге,Гражданская панихида запланирована в Научном центре Академии наук…
Прах Нестора Махно могут перевезти из Франции на Украину,Уже есть договоренности с внучатым племянником известного политического и военного деятеля периода революции и гражданской войны…
"Отказ от разоружения может привести мир к катастрофе, считает бывший президент СССР Михаил Горбачев","Он обратил внимание на то, что договоры, которые ограничивали гонку вооружения, сейчас перестают действовать…"
"Кудрин: Электронными базами российских министерств тяжело пользоваться, хотя на них ежегодно тратят 100 млрд рублей","В большинстве случаев это очень слабые базы данных, недостоверные, необновляемые, отметил он…"
В Греции по запросу Украины задержан российский гражданин,Евгений Калинин несколько лет назад работал вице-президентом в одной из нефтяных компаний на территории Украины…
На 10 суток арестован боец смешанных единоборств Александр Емельяненко,Суд в Кисловодске признал его виновным в неповиновении сотруднику полиции…
"Псковская журналистка Прокопьева, которую обвинили в оправдании терроризма, стала лауреатом премии 'Редколлегия'",Ее отметили в номинации «Солидарность»
В Китае 23-м миллионам человек в прошлом году запретили покупать билеты на самолеты и поезда,"Это наказание за различные проступки, — пишет британская газета «Гардиан»"
Пакистан передал Индии попавшего в плен военного пилота,Возвращение на родину Абхинандана Вартхамана транслировали в прямом телеэфире
Освобожден один из ключевых свидетелей по делу сенатора Рауфа Арашукова и его отца,Мосгорсуд сегодня отказался продлить срок ареста бывшему сенатору от Карачаево-Черкесии 70-летнему Вячеславу Дереву
"В дагестанском селе горят 20 частных домов, шесть уже полностью уничтожены огнем",Это сообщает ТАСС со ссылкой на главу Цумадинского района республики
"Площадь пожара в 15 домах в дагестанском селе составляет 2,5 тыс. кв метров - МЧС",Пожар охватил 15 частных домов в селе Тисси-Ахитли Цумадинском районе Дагестана…
В России премьеру фильма «Мстители:Финал» отложили на 4 дня,"Теперь она намечена на 29 апреля, сообщает «Бюллетень кинопрокатчика»..."
"Деятельность Владимира Путина одобряют 65% россиян, а доверяют ему 33%",Об этом свидетельствуют данные опроса ВЦИОМ…
"Компании, возможно, связанные с Евгением Пригожиным, получили новые контракты на поставку питания в Москве","Утверждается, что с начала года контракты на поставки еды в больницы и школы заключили 13 компаний на общую сумму 10 миллиардов рублей…"
"Найденная на чердаке картина, которую приписывают Караваджо, выставлена на торги в Лондоне",Эксперты аукционного дома «Сотби» оценили полотно в 170 миллионов долларов…
Король Саудовской Аравии лишил подданства Хамзу бен Ладена,"Сын «террориста номер один» считается одним из лидеров террористической группировки «Аль Каида», которая в России запрещена…"
Кинотеатры объявили бойкот российскому мультфильму из-за решения Минкульта сдвинуть премьеру зарубежного конкурента,"Ряд кинотеатров грозятся отказаться от проката российского мультфильма «Гурвинек», если Минкульт перенесет из-за него премьеру бельгийской ленты «Королевский корги»..."
Правозащитники узнали о новых случаях преследования геев в Чечне,Материалы переданы уполномоченной по правам человека в России Татьяне Москальковой…
"Компании, предположительно связанные с Пригожиным, с начала года получили контракты на поставку питания на 10 млрд",Заключению новых договоров не помешала даже вспышка дизентерии в московских школах и детских садах…
В Еврокомиссии потребовали от Польши остановить строительство канала через Балтийскую косу,"В Брюсселе отметили, что Варшава не убедила европейских чиновников в необходимости проекта, — передает агентство Reuters…"
Представитель бывшей жены Олега Дерипаски подтвердил ее развод с миллиардером,Брак распался больше года назад…
Российский Минюст отказался признать решение суда в Гааге по иску украинского 'Нафтогаза',"В ведомстве заявили, что у Арбитражного суда нет полномочий на рассмотрение подобных дел…"
"В Роскосмосе опровергли задержание сотрудника предприятия, где разработали ракету 'Сармат'","Фигурант уголовного дела не работает в Государственном ракетном центре имени Макеева, — отметили в госкорпорации…"
Мосгорсуд оставил фигуранта дела Baring Vostok Филипа Дельпаля в СИЗО,Сторона защиты пыталась обжаловать арест французского бизнесмена…
Супруга принца Гарри намерена воспитать будущего ребенка вне половых стереотипов,Детскую спроектировали гендерно нейтральной…
Известный боец смешанных единоборств Александр Емельяненко задержан в Кисловодске,Это произошло после ДТП…
Третьяковскую галерею обязали до ноября принять исчерпывающие меры по охране экспонатов,"Это говорится в документе по итогам проверки, проведенной министерством культуры…"
В Симферополе во время одиночного пикета задержан атаман крымского казачества,"Сергей Акимов вышел с плакатом в поддержку жителя Джанкоя с инвалидностью, который заявил, что его избил депутат Госдумы Михаил Шеремет…"
Международные эксперты подтвердили факт применения химического оружия в Сирии в апреле прошлого года,"В городе Дума, вероятно, был использован хлор…"
"В Кремле, как утверждают источники канала 'Дождь', подозревают инвестфонд Baring Vostok в финансировании оппозиции","Пресс-секретарь президента Дмитрий Песков сказал, что впервые об этом слышит…"
Саудовская Аравия лишила подданства сына Усамы бен Ладена,Об этом сообщает телеканал «Аль Хадас» со ссылкой на МВД королевства…
Российская прыгунья в высоту Мария Ласицкене победила на чемпионате Европы по легкой атлетике в помещении.,"На турнире в Глазго, выступающая в нейтральном статусе, 26-летняя спортсменка показала результат 2,01 метра."
Досрочные выборы мэра польского Гданьска выиграла Александра Дулкевич.,"б этом свидетельствуют опросы на выходе с избирательных участков. Ранее Дулкевич работала заместителем прежнего мэра Павла Адамовича, который был убит в середине января."
В Израиле разгорается скандал по поводу билетов на «Евровидение»,"Как сообщает телерадиокорпорация «Кан», организаторы заподозрили, что лучшие места в зале были проданы высокопоставленным представителям медиа— и спортивных структур «по блату»..."
На парламентских выборах в Эстонии победила крупнейшая оппозиционная партия Реформ,"По итогам электронного голосования, у нее 40% голосов…"
"Полиция задержала хулиганов, которые пытались разрисовать здание штаба Навального в Петербурге",Видео задержания опубликовано в группе команды политика в соцсети…
"Иерерха Православной церкви Украины архиепископа Климента, задержанного в Симферополе, отпустили из полиции","Как сообщил адвокат Николай Полозов, — без составления протокола…"
Лидер Венесуэльской оппозиции Хуан Гуайдо в понедельник возвращается в Венесуэлу,Он подтвердил это у себя в Твиттере…
В Эстонии час назад завершились выборы в парламент,В борьбе за мандаты в 101-местном законодательном органе участвовали 10 партий и 15 независимых кандидатов…
В Крыму был дважды задержан иерарх новообразованной Православной церкви Украины Климент,"Архиепископ планировал посетить в Ростове-на-Дону украинского гражданина Павла Гриба, обвиняемого в России в пособничестве терроризму…"
Лидер венесуэльской оппозиции Хуан Гуайдо в понедельник возвращается в Венесуэлу,Он подтвердил это у себя в Твиттере…
Матч 1/4 финала Олимп-Кубка России по футболу между тульским 'Арсеналом' и 'Оренбургом' пройдет на 'Арене Химки',Встреча состоится 6 марта…
Три человека погибли в ДТП в Буйнакском районе Дагестана,"Легковой автомобиль столкнулся с фурой, которая стояла на обочине…"
В аэропорту Волгограда задержан авиадебошир,"Он устроил на борту самолета, прилетевшего из Москвы, драку с другим пассажиром…"
США стремятся создать коалицию для смены власти в Венесуэле,Это подтвердил советник президента США по нацбезопасности Джон Болтон…
Почти 2000 жителей Пскова собрались на митинг 'За чистый воздух',Именно столько подписей было собрано на акции против строительства химического завода вблизи города…
Начальник российского Генштаба в понедельник встретится в Вене с председателем Комитета начальников штабов США,Соответствующее сообщение распространила американская сторона…
"Суд города Пусан продлил срок содержания под стражей капитану российского судна Seagrand, врезавшегося в мост",Об этом сообщил консул РФ в Пусане Роман Быков…
Посольство России в Лондоне потребовало официальных извинений за клевету от издания The Mail on Sunday,"В Дипмиссии сочли ложной публикацию в газете о том, что посол Александр Яковенко работает на российские спецслужбы…"
Московское 'Динамо' обыграло хельсинкский 'Йокерит' со счетом 3:0 в четвертом матче серии первого раунда плей-офф КХЛ,Встреча прошла в Москве…
"В 35 департаментах Франции объявлен предпоследний, 'оранжевый' уровень тревоги из-за сильного ветра",Штормовое предупреждение распространяется и на Париж…
При сегодняшней стыковке корабля Crew Dragon с МКС на российском сегменте станции прозвучал сигнал тревоги,Трансляция переговоров экипажа велась на сайте НАСА…
Начальник российского Генштаба в понедельник встретится в Вене с председателем Комитета начальников штабов США,Повестка переговоров не уточняется…
Лидер венесуэльской оппозиции Хуан Гуайдо призвал своих сторонников выйти в понедельник на очередные акции протеста,У себя в Твиттере он просит внимательно следить за информацией в соцсетях о точках сбора…
В США бывший читатель Публичной библиотеки округа Кайахога вернул журнал Life 1968 года с The Beatles на обложке,"Читатель принес извинения и объяснил, что украл журнал, когда был ребенком…"
Официальный представитель ФК 'Спартак' Леонид Трахтенберг уходит с этого поста,"В эфире телеканала «Матч ТВ» он выразил надежду, что в клубе его поймут и пойдут навстречу…"
Ил-62 ВВС России накануне вылетел из Москвы в Каракас и уже сегодня проследовал в обратном направлении,Об этом сообщает издание Тhe Веll со ссылкой на сайт Флай Радар…
Лидер венесуэльской оппозиции Хуан Гуайдо призвал своих сторонников выйти в понедельник на очередные акции протеста,У себя в Твиттере он просит внимательно следить за информацией в соцсетях о точках сбора…
Стоимость многократных американских виз для россиян будет снижена с 303-х долларов до 160-ти,Об этом договорились Россия и США…
В Екатеринбурге на ребенка с крыши жилого дома упала глыба льда,9-летний мальчик потерял сознание и был доставлен в больницу…
Российские кинотеатры заявили о готовности бойкотировать отечественный мультфильм из-за Минкульта,В ведомстве решили сдвинуть прокат бельгийского мультфильма «Королевские корги» ради российского «Гурвинека»...
"Советник президента по культуре В.Толстой призвал не привозить в регионы спектакли, которые противоречат традициям","По его словам, культурные различия нельзя не учитывать…"
Во Франции признали приемлемым использование феминитивов в названиях профессий,"До недавнего времени Французская академия, которая регулирует языковые нормы, возражала против таких изменений, называя их варварством…"
В Китае 23-м миллионам человек в прошлом году запретили покупать билеты на самолеты и поезда,"Это наказание за различные проступки, — пишет британская газета «Гардиан»..."
Почти все сотрудники русскоязычной версии сайта Motorsport.com покинули издание после смены владельца,"Остался только один человек, который поддерживает работу интернет-портала…"
Патриарх Кирилл призвал священников бороться с травлей детей в школах,"По его словам, в России возникла эпидемия буллинга, и масштаб проблемы так значителен, что церковь не может остаться в стороне…"
"Компании, предположительно связанные с Евгением Пригожиным, получили новые контракты на питание в Москве",Сумма контрактов на поставку еды в больницы и учебные заведения составляет 10 миллиардов рублей…
Власти Москвы пообещали решить проблемы обманутых дольщиков к 2023-му году,"Как сообщил вице-мэр Марат Хуснуллин, за последние 8 лет жилье получили 11 тысяч обманутых дольщиков…"
Пакистан передал Индии попавшего в плен военного пилота,Возвращение на родину Абхинандана Вартхамана транслировали в прямом телеэфире…
"Суд в Хабаровске подтвердил арест студента, которого подозревают в подготовке теракта в школе",Студент Дальневосточного института управления РАНХиГС Александр Онуфриенко был задержан еще 21-го февраля…
Освобожден один из ключевых свидетелей по делу сенатора Рауфа Арашукова и его отца,Мосгорсуд сегодня отказался продлить срок ареста бывшему сенатору от Карачаево-Черкесии 70-летнему Вячеславу Дереву…
Венесуэла готова поставлять России нефть,Это заявила вице-президент страны Дельси Родригес на встрече со спикером Госдумы Вячеславом Володиным…
Новый очаг кори нашли в Петербурге на Петроградской стороне,"Заболевшим оказался житель Украины, который приехал в гости…"
Кинотеатры объявили бойкот российскому мультфильму из-за решения Минкульта сдвинуть премьеру зарубежного конкурента,"Участники рынка жалуются, что из-за позиции чиновников могут потерять больше 100 миллионов рублей…"
Правозащитники передали омбудсмену данные о преследовании представителей ЛГБТ в Чеченской республике,"Эта встреча вряд ли приведет к каким-либо значительным результатам, — сказал «Эху» директор программ российской ЛГБТ-сети Игорь Кочетков…"
"Французский президент Эммануэль Макрон заявил, что не намерен запрещать протесты","На встрече с региональными депутатами глава государства отметил, что не видит смысла и вводить чрезвычайное положение…"
Сообщение о падении вертолета в Подмосковье оказалось ложным,"О жесткой посадке частного вертолета в районе поселка Горки-2 сообщил экстренным службам мужчина, который представился командиром экипажа…"
"Российский миллиардер Олег Дерипаска, несмотря на американские санкции, стал богаче","С начала года его состояние увеличилось на 1 миллиард долларов – до 4-х миллиардов, — сообщает агентство Bloomberg…"
В Москве стартовал гастрономический фестиваль «Московская Масленица»,"Концерты, мастер-классы, спектакли и другие праздничные мероприятия проходят на 23 площадках по всему городу…"
Венесуэла переносит офис своей главной государственной нефтяной корпорации в Россию,Об этом сегодня в Москве объявила вице-президент страны Делси Родригес…
Пакистан освободил захваченного индийского пилота,"Он был взят в плен после того, как его самолет сбили в результате воздушного боя над Кашмиром…"
Бастрыкин: Низкий процент оправдательных приговоров в России является признаком эффективности работы СК,"На коллегии по итогам работы в минувшем году, Бастрыкин сказал, что сейчас оправдательным приговором заканчиваются полпроцента следственных дел…"
Кремль заподозрил инвестфонд арестованного по обвинению в крупном мошенничестве М. Калви в финансировании оппозиции,"Об этом сообщил телеканал Дождь со ссылкой на источники, в том числе в администрации президента Путина…"
Швейцарский теннисист Роджер Федерер одержал победу в 100-м турнире в своей карьере,На первенстве в Дубае он победил в финале грека Стефаноса Циципаса…
